EmpNo,Attrition,JobRole,Department,DistanceFromHome,Education,EducationField,Age,Gender,YearsAtCompany,YearsInCurrentRole,Years Since Last Promotion,Years CurrManager,Monthly Income,EnvironmentSatisfaction,JobLevel,Job Satisfaction,Marital Status,Num Companies Worked,Over Time,Performance Rating,Relationship Satisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,,,,,,,,
55,Yes,Laboratory Technician,Research & Development,25,Bachelor's,Life Sciences,26,Male,1,0,0,1,2293,1,1,3,Single,1,No,3,3,0,1,2,2,,,,,,,,
56,No,Sales Executive,Sales,8,Bachelor's,Life Sciences,27,Male,9,8,1,7,8726,4,3,3,Single,1,No,3,4,0,9,0,3,,,,,,,,
57,No,Laboratory Technician,Research & Development,1,Some university,Medical,30,Female,12,8,3,7,4011,3,2,4,Single,1,No,4,4,0,12,2,3,1,,,,,,,
58,No,Research Director,Research & Development,12,Bachelor's,Technical Degree,41,Female,22,15,15,8,19545,2,5,3,Married,1,No,3,4,0,23,0,3,,,,,,,,
60,No,Sales Executive,Sales,23,Master's,Marketing,34,Male,9,5,8,7,4568,2,2,3,Single,0,No,4,3,0,10,2,3,1,,,,,,,
61,No,Research Scientist,Research & Development,19,Some university,Life Sciences,37,Male,1,0,0,0,3022,2,1,2,Married,4,No,4,1,0,8,1,3,1,,,,,,,
62,No,Sales Executive,Sales,5,Master's,Marketing,46,Male,9,6,0,8,5772,1,2,4,Single,4,Yes,4,3,0,14,4,3,1,,,,,,,
63,No,Laboratory Technician,Research & Development,8,High school or below,Life Sciences,35,Male,1,0,0,1,2269,4,1,4,Married,1,No,3,4,0,1,2,3,,,,,,,,
64,Yes,Laboratory Technician,Research & Development,1,Some university,Life Sciences,48,Male,1,0,0,0,5381,1,3,3,Single,9,Yes,3,4,0,23,2,3,,,,,,,,
65,Yes,Laboratory Technician,Research & Development,5,Master's,Technical Degree,28,Male,2,2,2,2,3441,3,1,3,Single,1,Yes,3,3,0,2,3,2,,,,,,,,
68,No,Sales Executive,Sales,1,Doctorate,Marketing,44,Female,4,3,1,3,5454,2,2,1,Divorced,5,Yes,4,3,1,9,2,2,1,,,,,,,
70,No,Healthcare Representative,Research & Development,11,Some university,Medical,35,Male,4,0,2,3,9884,3,3,1,Married,2,Yes,3,3,1,10,3,3,,,,,,,,
72,No,Sales Executive,Sales,23,Bachelor's,Marketing,26,Female,2,2,0,0,4157,3,2,4,Married,7,Yes,3,3,1,5,2,2,,,,,,,,
73,No,Research Director,Research & Development,1,Some university,Life Sciences,33,Female,15,14,8,12,13458,1,3,4,Single,1,Yes,3,3,0,15,1,3,,,,,,,,
74,No,Sales Executive,Sales,18,Doctorate,Life Sciences,35,Male,9,8,1,8,9069,2,3,1,Married,1,No,4,4,1,9,3,2,1,,,,,,,
75,No,Laboratory Technician,Research & Development,23,Master's,Medical,35,Female,2,2,2,2,4014,3,1,1,Married,3,Yes,3,3,1,4,3,3,,,,,,,,
76,No,Laboratory Technician,Research & Development,7,Master's,Life Sciences,31,Male,7,7,1,7,5915,4,2,4,Divorced,3,No,4,4,1,10,3,2,1,,,,,,,
77,No,Manufacturing Director,Research & Development,1,Master's,Life Sciences,37,Male,7,5,0,7,5993,1,2,3,Divorced,1,No,3,3,1,7,2,4,,,,,,,,
78,No,Manufacturing Director,Research & Development,1,Bachelor's,Medical,32,Male,9,8,7,8,6162,1,2,4,Married,1,Yes,4,2,1,9,3,3,1,,,,,,,
79,No,Laboratory Technician,Research & Development,29,Doctorate,Life Sciences,38,Female,10,3,9,9,2406,4,2,4,Single,1,No,3,4,0,10,2,3,,,,,,,,
80,No,Research Director,Research & Development,7,Some university,Medical,50,Female,27,3,13,8,18740,2,5,3,Divorced,5,Yes,3,4,1,29,2,2,,,,,,,,
81,No,Sales Executive,Sales,25,Bachelor's,Life Sciences,59,Female,21,16,7,9,7637,1,3,1,Single,7,No,3,4,0,28,3,2,,,,,,,,
83,No,Healthcare Representative,Research & Development,8,Bachelor's,Technical Degree,36,Female,17,14,12,8,10096,3,3,3,Divorced,1,No,3,2,3,17,2,3,,,,,,,,
84,No,Manager,Research & Development,8,Bachelor's,Medical,55,Female,5,0,0,2,14756,4,4,3,Divorced,2,Yes,3,3,3,21,2,3,,,,,,,,
85,No,Manufacturing Director,Research & Development,11,Bachelor's,Life Sciences,36,Male,6,5,0,3,6499,2,2,2,Single,1,No,3,3,0,6,3,3,,,,,,,,
86,No,Research Scientist,Research & Development,7,Bachelor's,Life Sciences,45,Male,1,0,0,0,9724,2,3,1,Divorced,2,No,3,3,1,25,2,3,,,,,,,,
88,No,Research Scientist,Research & Development,1,Bachelor's,Medical,35,Male,3,2,1,2,2194,2,1,1,Married,4,No,3,4,1,5,2,2,,,,,,,,
90,Yes,Research Scientist,Research & Development,9,Bachelor's,Medical,36,Male,1,0,0,0,3388,4,1,3,Married,0,Yes,3,1,1,2,0,2,,,,,,,,
91,No,Sales Executive,Sales,1,High school or below,Life Sciences,59,Female,4,3,1,3,5473,1,2,3,Single,7,No,3,4,0,20,2,2,,,,,,,,
94,No,Research Scientist,Research & Development,2,Bachelor's,Life Sciences,29,Male,5,4,0,4,2703,3,1,2,Married,0,No,4,4,1,6,3,3,1,,,,,,,
95,No,Research Scientist,Research & Development,1,Master's,Medical,31,Male,1,1,1,0,2501,3,1,2,Single,1,No,3,2,0,1,4,3,,,,,,,,
96,No,Research Scientist,Research & Development,1,Bachelor's,Life Sciences,32,Male,10,4,0,9,6220,2,2,2,Married,1,No,3,2,2,10,3,3,,,,,,,,
97,No,Laboratory Technician,Research & Development,6,Bachelor's,Life Sciences,36,Female,1,0,0,0,3038,2,1,4,Married,3,No,3,2,0,5,3,3,,,,,,,,
98,No,Manufacturing Director,Research & Development,8,Master's,Life Sciences,31,Female,11,7,1,8,4424,3,2,4,Single,1,No,4,4,0,11,2,3,1,,,,,,,
100,No,Sales Executive,Sales,1,Master's,Marketing,35,Male,15,13,2,8,4312,3,2,1,Single,0,No,3,2,0,16,2,3,,,,,,,,
101,No,Research Director,Research & Development,6,Master's,Other,45,Male,0,0,0,0,13245,4,3,1,Married,4,Yes,3,2,0,17,3,4,,,,,,,,
102,No,Research Director,Research & Development,7,Master's,Medical,37,Male,5,2,0,2,13664,1,3,3,Single,4,No,3,1,0,16,3,4,,,,,,,,
103,No,Human Resources,Human Resources,5,Some university,Medical,46,Male,4,2,0,2,5021,2,2,2,Divorced,8,Yes,4,4,1,16,2,3,1,,,,,,,
104,No,Laboratory Technician,Research & Development,1,High school or below,Life Sciences,30,Male,10,8,3,0,5126,4,2,4,Married,1,Yes,3,3,2,10,1,2,,,,,,,,
105,No,Research Scientist,Research & Development,1,Bachelor's,Medical,35,Male,6,4,0,4,2859,2,1,3,Single,1,No,3,1,0,6,3,3,,,,,,,,
106,No,Sales Executive,Sales,1,Some university,Life Sciences,55,Male,1,0,1,0,10239,1,3,4,Married,3,No,3,4,1,24,4,3,,,,,,,,
107,No,Research Scientist,Research & Development,6,Bachelor's,Medical,38,Female,13,11,1,9,5329,2,2,4,Divorced,7,Yes,3,4,3,17,3,3,,,,,,,,
110,No,Manufacturing Director,Research & Development,1,Some university,Medical,34,Male,5,2,1,3,4325,1,2,2,Married,1,No,3,3,0,5,2,3,,,,,,,,
112,No,Manufacturing Director,Research & Development,7,Bachelor's,Life Sciences,56,Male,6,4,0,2,7260,4,3,4,Single,4,No,3,1,0,37,3,2,,,,,,,,
113,No,Sales Representative,Sales,2,High school or below,Technical Degree,23,Male,0,0,0,0,2322,3,1,1,Divorced,3,No,3,3,1,3,3,3,,,,,,,,
116,No,Laboratory Technician,Research & Development,9,Master's,Life Sciences,51,Male,4,2,0,3,2075,4,1,4,Married,3,No,4,2,2,10,4,3,1,,,,,,,
117,No,Healthcare Representative,Research & Development,2,Bachelor's,Life Sciences,30,Male,11,10,10,8,4152,3,2,4,Married,1,No,3,1,3,11,3,3,,,,,,,,
118,Yes,Sales Executive,Sales,9,Some university,Medical,46,Male,9,8,4,7,9619,3,3,4,Single,1,No,3,4,0,9,3,3,,,,,,,,
119,No,Healthcare Representative,Research & Development,1,Master's,Life Sciences,40,Male,22,3,11,11,13503,3,4,2,Married,1,No,4,4,1,22,3,2,1,,,,,,,
120,No,Sales Executive,Sales,21,Master's,Marketing,51,Male,10,7,1,0,5441,3,2,4,Single,0,Yes,4,4,0,11,2,1,1,,,,,,,
121,No,Sales Executive,Sales,4,Some university,Medical,30,Female,11,8,2,7,5209,3,2,2,Divorced,1,Yes,3,2,3,11,4,2,,,,,,,,
124,No,Healthcare Representative,Research & Development,1,Bachelor's,Medical,46,Male,10,9,9,5,10673,3,3,1,Married,2,Yes,3,3,1,21,5,2,,,,,,,,
125,No,Sales Executive,Sales,6,Master's,Medical,32,Male,11,8,5,7,5010,2,2,3,Single,1,No,3,1,0,12,0,3,,,,,,,,
126,No,Research Director,Research & Development,2,Master's,Technical Degree,54,Female,4,3,0,3,13549,1,3,3,Married,9,No,3,1,1,16,5,1,,,,,,,,
128,No,Sales Executive,Sales,3,Some university,Other,24,Female,3,2,0,2,4999,1,2,3,Married,0,No,4,1,1,4,2,2,1,,,,,,,
129,No,Sales Executive,Sales,4,Bachelor's,Medical,28,Male,5,4,0,4,4221,2,2,3,Married,1,No,3,2,0,5,3,4,,,,,,,,
131,No,Sales Executive,Sales,10,Master's,Medical,58,Male,37,10,1,8,13872,4,4,3,Single,0,No,3,3,0,38,1,2,,,,,,,,
132,No,Laboratory Technician,Research & Development,23,Bachelor's,Medical,44,Male,3,2,1,2,2042,2,2,2,Married,4,No,3,3,1,17,3,4,,,,,,,,
133,Yes,Human Resources,Human Resources,6,Master's,Human Resources,37,Male,3,2,0,2,2073,3,1,1,Divorced,4,Yes,4,4,0,7,3,3,1,,,,,,,
134,No,Research Scientist,Research & Development,1,High school or below,Life Sciences,32,Male,1,0,0,0,2956,4,1,1,Single,1,No,3,4,0,1,2,3,,,,,,,,
137,Yes,Laboratory Technician,Research & Development,6,Bachelor's,Life Sciences,20,Female,1,0,1,0,2926,4,1,4,Single,1,Yes,3,2,0,1,5,3,,,,,,,,
138,No,Research Scientist,Research & Development,6,Master's,Other,34,Female,16,13,2,10,4809,1,2,3,Single,1,No,3,3,0,16,3,3,,,,,,,,
139,No,Healthcare Representative,Research & Development,2,Some university,Life Sciences,37,Male,1,0,0,0,5163,3,2,4,Divorced,5,No,3,4,1,17,2,4,,,,,,,,
140,No,Manager,Human Resources,2,Master's,Human Resources,59,Female,3,2,2,2,18844,3,5,4,Married,9,No,4,4,1,30,3,3,1,,,,,,,
141,No,Research Director,Research & Development,1,Bachelor's,Life Sciences,50,Female,8,3,0,7,18172,1,5,2,Married,3,Yes,3,1,0,28,1,2,,,,,,,,
142,Yes,Sales Executive,Sales,5,Bachelor's,Marketing,25,Male,6,4,0,3,5744,3,2,3,Single,1,Yes,3,4,0,6,1,3,,,,,,,,
143,No,Research Scientist,Research & Development,7,High school or below,Medical,25,Male,2,2,2,1,2889,4,1,4,Married,1,No,3,3,2,2,2,3,,,,,,,,
144,No,Laboratory Technician,Research & Development,15,Bachelor's,Medical,22,Female,0,0,0,0,2871,2,1,4,Single,1,No,3,3,0,1,5,3,,,,,,,,
145,No,Healthcare Representative,Research & Development,1,Master's,Medical,51,Female,13,12,12,8,7484,1,3,1,Single,3,No,4,3,0,23,1,2,1,,,,,,,
147,Yes,Laboratory Technician,Research & Development,7,Bachelor's,Life Sciences,34,Male,9,7,0,6,6074,1,2,3,Single,1,Yes,4,4,0,9,3,3,1,,,,,,,
148,No,Manager,Human Resources,26,Bachelor's,Human Resources,54,Female,5,3,4,4,17328,4,4,4,Single,2,Yes,3,3,0,23,3,3,,,,,,,,
150,No,Laboratory Technician,Research & Development,18,High school or below,Life Sciences,24,Male,5,3,1,2,2774,2,1,3,Married,0,No,3,3,1,6,2,3,,,,,,,,
151,No,Research Scientist,Research & Development,6,Master's,Life Sciences,34,Female,1,0,0,0,4505,3,2,2,Divorced,6,No,3,3,1,12,3,3,,,,,,,,
152,No,Sales Executive,Sales,3,Bachelor's,Life Sciences,37,Male,5,3,1,3,7428,3,3,4,Single,2,No,3,1,0,12,3,3,,,,,,,,
153,No,Manager,Research & Development,5,Bachelor's,Medical,34,Female,11,10,5,8,11631,3,3,1,Single,2,No,3,4,0,14,6,3,,,,,,,,
154,No,Sales Executive,Sales,11,Some university,Technical Degree,36,Female,9,7,2,8,9738,2,3,4,Married,0,No,3,3,1,10,6,3,,,,,,,,
155,No,Laboratory Technician,Research & Development,3,Some university,Life Sciences,36,Female,1,0,0,0,2835,1,1,4,Divorced,5,No,4,1,1,7,2,3,1,,,,,,,
158,No,Manager,Sales,26,Some university,Life Sciences,43,Male,25,12,4,12,16959,3,4,4,Married,1,Yes,3,4,2,25,3,4,,,,,,,,
159,No,Research Scientist,Research & Development,23,Bachelor's,Life Sciences,30,Male,10,7,0,9,2613,1,1,3,Divorced,1,No,4,3,3,10,2,2,1,,,,,,,
160,No,Sales Executive,Sales,22,Some university,Marketing,33,Male,7,7,0,7,6146,3,2,2,Married,0,No,3,1,1,8,2,4,,,,,,,,
161,Yes,Research Scientist,Research & Development,14,Master's,Life Sciences,56,Female,5,4,4,3,4963,2,1,2,Married,9,Yes,3,1,3,7,2,3,,,,,,,,
162,No,Research Director,Research & Development,6,Bachelor's,Life Sciences,51,Male,20,18,15,15,19537,1,5,3,Single,7,No,3,3,0,23,5,3,,,,,,,,
163,Yes,Sales Executive,Sales,6,Master's,Life Sciences,31,Male,7,7,7,7,6172,2,2,3,Married,4,Yes,3,2,0,12,3,2,,,,,,,,
164,No,Research Scientist,Research & Development,6,Bachelor's,Other,26,Female,5,4,4,3,2368,3,1,2,Married,1,No,3,3,0,5,3,2,,,,,,,,
165,Yes,Healthcare Representative,Research & Development,23,Master's,Medical,58,Female,40,10,15,6,10312,4,3,4,Married,1,No,3,4,1,40,3,2,,,,,,,,
167,Yes,Sales Representative,Sales,22,High school or below,Marketing,19,Male,0,0,0,0,1675,4,1,3,Single,1,Yes,3,4,0,0,2,2,,,,,,,,
169,No,Laboratory Technician,Research & Development,2,High school or below,Technical Degree,22,Male,2,1,2,1,2523,3,1,4,Married,0,No,3,3,1,3,2,3,,,,,,,,
170,No,Manufacturing Director,Research & Development,20,Master's,Medical,49,Female,15,11,5,11,6567,3,2,1,Married,1,No,3,3,0,16,2,2,,,,,,,,
171,No,Research Scientist,Research & Development,28,Bachelor's,Medical,43,Female,3,2,1,2,4739,2,1,3,Single,4,No,3,4,0,18,2,3,,,,,,,,
174,No,Sales Executive,Sales,12,Bachelor's,Marketing,50,Female,2,2,2,1,9208,3,3,4,Single,4,No,3,4,0,16,3,3,,,,,,,,
175,Yes,Sales Executive,Sales,20,Bachelor's,Life Sciences,31,Female,2,2,2,2,4559,2,2,3,Married,3,Yes,3,3,1,4,2,3,,,,,,,,
176,No,Sales Executive,Sales,9,High school or below,Life Sciences,41,Male,9,7,0,7,8189,3,3,3,Divorced,3,Yes,3,3,1,12,2,3,,,,,,,,
177,No,Human Resources,Human Resources,25,High school or below,Life Sciences,26,Female,8,7,5,7,2942,3,1,3,Married,1,No,4,4,1,8,3,3,1,,,,,,,
178,No,Manufacturing Director,Research & Development,6,Some university,Medical,36,Male,3,2,0,1,4941,2,2,2,Divorced,6,No,4,4,2,7,0,3,1,,,,,,,
179,Yes,Manufacturing Director,Research & Development,8,Master's,Life Sciences,51,Male,4,2,0,3,10650,1,3,4,Single,2,No,3,4,0,18,2,3,,,,,,,,
182,No,Sales Executive,Sales,4,Master's,Life Sciences,39,Female,15,11,5,9,5902,4,2,3,Married,4,No,3,3,1,17,1,4,,,,,,,,
183,No,Sales Executive,Sales,28,Bachelor's,Life Sciences,25,Male,2,2,2,2,8639,1,2,3,Married,2,No,3,4,0,6,3,3,,,,,,,,
184,No,Human Resources,Human Resources,9,Bachelor's,Human Resources,30,Male,11,9,4,7,6347,3,2,4,Married,0,Yes,3,4,0,12,2,1,,,,,,,,
190,Yes,Laboratory Technician,Research & Development,9,Bachelor's,Medical,32,Female,5,4,0,4,4200,1,1,1,Single,7,No,4,1,0,10,2,4,1,,,,,,,
192,No,Research Scientist,Research & Development,29,Bachelor's,Medical,45,Male,6,5,0,3,3452,3,1,4,Single,5,No,3,2,0,9,2,2,,,,,,,,
193,No,Research Scientist,Research & Development,3,Doctorate,Technical Degree,38,Female,3,2,2,2,4317,4,2,3,Single,3,Yes,4,2,0,19,2,3,1,,,,,,,
194,No,Research Scientist,Research & Development,18,Bachelor's,Life Sciences,30,Female,5,4,0,4,2632,1,1,3,Single,1,No,3,3,0,5,4,2,,,,,,,,
195,No,Sales Executive,Sales,9,Some university,Medical,32,Male,8,7,0,7,4668,4,2,4,Divorced,0,No,3,4,3,9,2,4,,,,,,,,
197,No,Research Scientist,Research & Development,5,Bachelor's,Technical Degree,30,Female,3,2,2,2,3204,4,1,1,Divorced,5,No,3,4,1,8,3,3,,,,,,,,
198,No,Laboratory Technician,Research & Development,2,High school or below,Medical,30,Male,5,3,1,2,2720,2,1,4,Single,0,No,3,4,0,6,3,3,,,,,,,,
199,No,Manager,Research & Development,10,Bachelor's,Life Sciences,41,Male,7,6,7,7,17181,4,4,1,Divorced,4,No,3,2,1,21,2,2,,,,,,,,
200,No,Laboratory Technician,Research & Development,9,Master's,Life Sciences,41,Male,5,0,1,4,2238,3,1,1,Married,2,No,4,4,1,7,2,3,1,,,,,,,
201,No,Laboratory Technician,Research & Development,3,High school or below,Medical,19,Female,1,0,0,0,1483,2,1,2,Single,1,No,3,4,0,1,3,3,,,,,,,,
202,No,Research Scientist,Research & Development,26,Bachelor's,Medical,40,Female,20,7,2,13,5605,2,2,2,Divorced,1,No,3,1,1,20,2,3,,,,,,,,
204,No,Sales Executive,Sales,1,Doctorate,Marketing,35,Male,10,8,0,6,7295,3,3,2,Married,1,No,3,1,2,10,3,3,,,,,,,,
205,No,Sales Representative,Sales,6,Some university,Marketing,53,Male,7,7,4,5,2306,2,2,3,Married,2,Yes,4,4,1,13,3,1,1,,,,,,,
206,No,Laboratory Technician,Research & Development,9,Bachelor's,Life Sciences,45,Male,17,9,0,15,2348,2,2,2,Divorced,8,No,3,3,1,20,2,1,,,,,,,,
207,No,Sales Executive,Sales,8,Bachelor's,Marketing,32,Female,9,8,3,7,8998,2,3,4,Single,1,No,3,4,0,9,2,3,,,,,,,,
208,No,Manufacturing Director,Research & Development,1,High school or below,Technical Degree,29,Male,10,7,0,9,4319,4,2,3,Married,1,No,3,1,1,10,1,3,,,,,,,,
211,No,Manufacturing Director,Research & Development,7,Master's,Medical,51,Male,1,0,0,0,6132,2,2,3,Married,2,No,3,3,0,10,2,3,,,,,,,,
214,No,Research Scientist,Research & Development,9,Bachelor's,Medical,58,Female,1,0,0,0,3346,2,1,2,Married,4,Yes,4,2,1,9,3,2,1,,,,,,,
215,No,Sales Executive,Sales,4,Master's,Marketing,40,Male,12,11,2,11,10855,3,3,4,Married,7,No,3,1,1,15,2,2,,,,,,,,
216,No,Sales Representative,Sales,2,Master's,Marketing,34,Female,4,3,1,2,2231,3,1,3,Married,6,No,3,4,1,6,3,3,,,,,,,,
217,No,Research Scientist,Research & Development,19,High school or below,Medical,22,Male,2,2,2,2,2323,3,1,4,Married,1,No,4,1,2,2,6,3,1,,,,,,,
218,No,Research Scientist,Research & Development,9,Bachelor's,Medical,27,Male,2,2,2,2,2024,4,1,2,Divorced,6,No,3,4,1,6,1,1,,,,,,,,
221,No,Research Scientist,Research & Development,21,Bachelor's,Medical,28,Male,5,2,0,2,2713,3,1,4,Married,1,No,3,3,1,5,2,1,,,,,,,,
223,No,Healthcare Representative,Research & Development,24,Some university,Life Sciences,57,Male,5,3,1,4,9439,3,3,4,Divorced,3,Yes,3,2,1,12,2,1,,,,,,,,
224,No,Research Scientist,Research & Development,3,Bachelor's,Medical,27,Male,1,1,0,1,2566,3,1,3,Divorced,1,Yes,3,4,1,1,2,2,,,,,,,,
226,No,Manager,Research & Development,11,Bachelor's,Life Sciences,50,Female,5,4,4,4,19926,3,5,2,Single,3,No,3,2,0,21,5,3,,,,,,,,
227,No,Research Scientist,Research & Development,14,Bachelor's,Life Sciences,41,Male,9,8,1,8,2451,1,1,3,Divorced,4,No,3,1,1,13,2,3,,,,,,,,
